event,AdCo-001,AdCo-019,AdCo-016,AdCo-015,AdCo-011,AdCo-022,DM1-108,AdCo-025,DM1-109,AdCo-002,AdCo-008,AdCo-017,AdCo-018,AdCo-010,AdCo-012,DM1-081,AdCo-009,AdCo-004,DM1-103,AdCo-005,DM1-056,AdCo-007,DM2-003,AdCo-021,AdCo-023,AdCo-024,DM1-050,DM1-080,AdCo-006,DM1-076,AdCo-020,DM1-073,CDM-033,DM1-072,CDM-036,DM1-041,DM1-057,DM1-106,DM1-068,DM1-069,DM1-058,DM1-077,DM1-110,DM1-071,CDM-032,DM1-086,DM1-070,DM1-060,DM1-087,DM1-049,DM1-048,DM1-054,DM1-047,DM1-002,DM1-001,DM1-044,DM1-042,CDM-018,DM1-010,DM1-004,DM1-043,DM2-001,DM1-062,DM1-088,DM1-059,DM2-002,DM2-004,DM1-107,DM1-052,DM1-006,DM1-074,DM1-101,DM1-104,DM1-051,CDM-007,DM1-018,DM1-045,DM1-007,DM1-063,DM1-012,DM1-011,DM1-028,DM1-075,DM1-067,DM1-009,DM1-064,DM1-061,DM1-023,DM1-114,DM1-013,DM1-115,DM1-053,DM1-066,DM1-021,DM1-102,DM1-025,DM1-065,DM1-026,DM1-019,DM1-105,DM1-084,CDM-021,DM1-055,DM1-089,DM1-005,DM1-024,DM1-022,DM1-016,DM1-031,DM1-030,DM1-082,DM1-046,DM1-029,DM1-032,DM1-017,DM1-014,DM1-036,DM1-083,DM1-015,DM1-085,DM1-035,CDM-034,DM1-038,DM1-039,DM1-027,DM1-033,DM1-034,DM1-020,CDM-001
ANK2,0.978723404,0.94486543,0.937533512,0.914518318,0.918589744,0.965469613,0.911123853,0.868372943,0.929050815,0.934953271,0.917092768,0.937575758,0.959533608,0.907383832,0.840236686,0.888671875,0.924564797,0.934117647,0.858551568,0.94188862,0.924166667,0.86686103,0.942819149,0.949895616,0.870870871,0.852007772,0.899196366,0.766307431,0.93903454,0.862821279,0.772491909,0.897233202,0.935483871,0.845675523,0.926302641,0.922435897,0.922877358,0.882927992,0.890400605,0.855143722,0.906726768,0.794720497,0.589875112,0.955622677,0.800139519,0.827227311,0.886926606,0.803151862,0.81825273,0.873049645,0.911370056,0.767436885,0.868794326,0.851126516,0.835427136,0.809187833,0.865210442,0.795795796,0.867293626,0.824709411,0.778584965,0.705357143,0.850830368,0.584118927,0.868129614,0.58890331,0.667497125,0.719782518,0.585552597,0.79948526,0.669806644,0.729092752,0.684158021,0.803098592,0.735789474,0.80669145,0.732890365,0.783621838,0.61423221,0.763334935,0.79982694,0.811913859,0.672899252,0.727254509,0.743569132,0.676352257,0.832152975,0.722052328,0.75029656,0.745644057,0.596098953,0.505761844,0.687828162,0.767036926,0.640057756,0.690779363,0.642561983,0.685529373,0.619782214,0.631850244,0.38976378,0.619620422,0.629665072,0.55,0.648239148,0.562651934,0.703494772,0.590612245,0.532862191,0.602066374,0.490545767,0.479868646,0.548869565,0.623532952,0.370314275,0.428808558,0.441236691,0.38965708,0.389477167,0.418918919,0.374841705,0.43008615,0.475157837,0.456176531,0.550988701,0.499711732,0.470544258,0.29889043,0.386033648
ATP2A1,0.996969547,0.996618845,0.996367203,0.99650076,0.993033461,0.996105491,0.994007768,0.99535629,0.99650997,0.997066491,0.995687916,0.995569426,0.996107841,0.991480174,0.995119799,0.993238851,0.995517569,0.997104488,0.996671042,0.996550441,0.995623009,0.995751328,0.99185673,0.996906484,0.984232239,0.994536314,0.993586413,0.994232929,0.986245019,0.929259575,0.997628772,0.976067067,0.980299263,0.96912532,0.966403987,0.986185235,0.924362302,0.959166284,0.965892175,0.970466335,0.987411284,0.832771925,0.934846617,0.957649943,0.914115173,0.983790169,0.899402757,0.949341902,0.880298726,0.945839124,0.864681104,0.826732477,0.739928366,0.837289386,0.838436195,0.769054904,0.849579225,0.894387829,0.575166943,0.825686077,0.78291133,0.449436468,0.826093445,0.792595639,0.731355627,0.505978333,0.383930444,0.518486849,0.844790448,0.683009396,0.713071095,0.884203556,0.77850323,0.465259415,0.658625636,0.254663079,0.650402221,0.878017508,0.308078509,0.434803206,0.269178438,0.663418602,0.708878572,0.706900093,0.548293851,0.26994815,0.647120677,0.762637263,0.531362763,0.371523018,0.305087058,0.613681699,0.676111688,0.339079125,0.375037887,0.242422216,0.218976968,0.082898895,0.469762283,0.128939814,0.510080826,0.042022504,0.131832753,0.206315906,0.041301915,0.033910879,0.028260712,0.076374729,0.086885065,0.017322009,0.038634141,0.023113449,0.074057958,0.012305703,0.026101233,0.031223855,0.040718183,0.015229768,0.068305612,0.021915088,0.02390087,0.015085369,0.014671735,0.011836704,0.009931115,0.010234979,0.013443105,0.014153332,0.015840186
BEST3,0.718295218,0.892709766,0.85786802,0.785104732,0.823371284,0.931372549,0.854273336,0.854776081,0.826479076,0.787531017,0.832335329,0.712126664,0.801829268,0.841107319,0.753932119,0.641157382,0.739403454,0.862911796,0.890782828,0.677956372,0.724132863,0.798484056,0.876033058,0.685787671,0.803195352,0.767225326,0.652566159,0.656760773,0.739331437,0.741595442,0.809080326,0.735766821,0.764903277,0.651798561,0.623587224,0.550316678,0.607797372,0.531821507,0.575951444,0.66491074,0.584227255,0.456356921,0.698242812,0.606967787,0.61107375,0.548181477,0.580771434,0.432980401,0.449634756,0.454424386,0.6482661,0.365483539,0.4855,0.573414905,0.647690901,0.500922752,0.387668552,0.505559674,0.462709832,0.313743948,0.320759031,0.438663531,0.323350741,0.45399754,0.288613303,0.446588453,0.348125081,0.353843862,0.14041621,0.356920926,0.426327364,0.270968791,0.268456376,0.46473977,0.308387745,0.249895572,0.197043337,0.346614641,0.272500996,0.33141804,0.318453292,0.323787993,0.232993756,0.236200412,0.200290416,0.174681754,0.144383184,0.296700716,0.188585608,0.181025958,0.194007491,0.142525828,0.163994086,0.185835819,0.144561955,0.155824599,0.154803041,0.158391696,0.179471385,0.197650311,0.130791588,0.131866825,0.097439446,0.138740806,0.197745781,0.075831142,0.235009385,0.172133232,0.078956851,0.130160019,0.046183546,0.064418995,0.067511956,0.078350065,0.174109627,0.041494253,0.125202442,0.028886355,0.088711768,0.102547971,0.08123608,0.060394103,0.124102684,0.156075374,0.073118633,0.081905516,0.064823815,0.031064938,0.048725212
BIN1,0.988700319,0.988571897,0.99028059,0.988067761,0.990347805,0.986845804,0.984828725,0.988328848,0.98689806,0.988719037,0.986880334,0.985994722,0.988520971,0.985049348,0.986179622,0.987441202,0.987669131,0.987960554,0.984927635,0.989683866,0.986043956,0.985966736,0.988978313,0.988400083,0.985927345,0.987544902,0.983514566,0.982326951,0.985458358,0.985746192,0.978025963,0.975764981,0.983774879,0.980097431,0.982144428,0.987927462,0.979842376,0.979473799,0.974916186,0.976691419,0.957855246,0.971290074,0.971222477,0.97312478,0.976131078,0.973413749,0.974891016,0.953090812,0.96764653,0.951490771,0.945771207,0.948947649,0.933156909,0.920462434,0.933184855,0.955334499,0.957434653,0.950296611,0.954293113,0.962048885,0.924695803,0.943601146,0.937270534,0.924275338,0.930137476,0.941583226,0.929064001,0.941488269,0.917478194,0.929173186,0.866387554,0.884450222,0.856515863,0.918162272,0.851438782,0.931121108,0.885958988,0.925919025,0.890962053,0.919029035,0.896882719,0.938230032,0.849650547,0.88968529,0.893024548,0.861591493,0.908321897,0.905027073,0.898919221,0.890567396,0.902542249,0.843937828,0.882418813,0.860341614,0.86828211,0.878482204,0.808702161,0.912546851,0.860342178,0.830095317,0.745993102,0.821178701,0.862573812,0.817346923,0.820188047,0.803725585,0.750866557,0.843835125,0.712792128,0.799465195,0.751873622,0.664014065,0.705613546,0.725813735,0.840285848,0.628440585,0.762223033,0.632309258,0.641099208,0.567110532,0.691281735,0.6043638,0.691311486,0.662566552,0.746204715,0.590360486,0.639344262,0.528942672,0.524715451
CACNA1S,0.964886437,0.952752905,0.944166135,0.957374502,0.940427652,0.941308644,0.970013175,0.956330362,0.953587083,0.954232298,0.965442243,0.945336635,0.927688426,0.911705908,0.932135033,0.946926676,0.947426842,0.949753695,0.953233575,0.954303284,0.932379089,0.927966696,0.918963067,0.961369054,0.941906806,0.918959534,0.916883819,0.925922833,0.933542795,0.890441789,0.933144887,0.851853759,0.915151105,0.892131617,0.898964385,0.916418842,0.874614289,0.886316337,0.860025115,0.837050631,0.893036525,0.838220638,0.905258898,0.83537075,0.880722999,0.789351254,0.858285221,0.842397808,0.801341456,0.821722164,0.752675841,0.771951485,0.74042955,0.688644493,0.68743536,0.685096468,0.70767346,0.727926162,0.699496624,0.6939097,0.644840041,0.566156094,0.565124386,0.675205065,0.664723334,0.511780897,0.537875209,0.684181231,0.603003755,0.633396052,0.638818816,0.588127554,0.637192545,0.634587348,0.623852968,0.546408149,0.594970033,0.538996025,0.610282202,0.532824548,0.497517422,0.478281101,0.551875567,0.537014737,0.495478554,0.519822125,0.50557047,0.410698782,0.521870833,0.435169186,0.503315493,0.435916239,0.491342905,0.498861439,0.504802626,0.355671163,0.485967408,0.433365823,0.36082508,0.310172928,0.378955601,0.386174783,0.4193323,0.283900601,0.285637382,0.252730665,0.278883524,0.254284616,0.354164091,0.220134306,0.222277835,0.291476697,0.234489484,0.250342437,0.239153059,0.173024643,0.270543239,0.220871795,0.249707673,0.24521892,0.24016811,0.209070423,0.285506446,0.281121418,0.198084901,0.189231987,0.206100537,0.1987461,0.174340498
CAMK2B,0.755052265,0.671616022,0.609431681,0.585146857,0.638334284,0.582130584,0.660182427,0.692790736,0.658595157,0.654211036,0.690201192,0.655055769,0.445766871,0.583427192,0.635041171,0.538331929,0.764719464,0.620322514,0.593129771,0.664207826,0.60431338,0.57745465,0.463130761,0.600021169,0.420819631,0.54554026,0.406071673,0.524368231,0.47214904,0.471015917,0.60235448,0.317292007,0.496568487,0.460187022,0.470566132,0.358292178,0.333145052,0.438515081,0.361783439,0.330227416,0.396889646,0.348857307,0.442709411,0.251437372,0.362061898,0.211091626,0.238896239,0.355390009,0.280876044,0.240486016,0.223336479,0.220035426,0.154874372,0.130411353,0.165310577,0.16635444,0.148109244,0.201768111,0.110760795,0.200936768,0.142706645,0.156407035,0.126662971,0.14700589,0.126565387,0.092275029,0.093997583,0.149451818,0.123159832,0.092079208,0.11395134,0.125160256,0.157685275,0.090533563,0.118868227,0.108376833,0.100918211,0.104716227,0.144626594,0.063570525,0.084021885,0.063247495,0.095654173,0.067695261,0.08136909,0.124025708,0.086432389,0.091736624,0.060951437,0.051725805,0.091841365,0.092605759,0.050541516,0.045758514,0.058402799,0.046070917,0.037720329,0.041294299,0.043829376,0.03930744,0.078149441,0.047179827,0.038677918,0.0255886,0.03143284,0.016318268,0.027181144,0.013020329,0.036407537,0.018117417,0.021431102,0.01890189,0.018934416,0.027717154,0.024684788,0.026957578,0.025425095,0.026257569,0.029984327,0.017375711,0.018045656,0.024852214,0.02211788,0.017432157,0.016304048,0.019286648,0.010647459,0.032504854,0.027027027
CAPZB,0.83807777,0.813415934,0.800207165,0.835185185,0.786071887,0.848478474,0.825201043,0.799761689,0.812525334,0.858408304,0.752692919,0.838824214,0.826581028,0.817079982,0.772634791,0.7094,0.813292789,0.760576415,0.757574038,0.802819132,0.798470948,0.699269974,0.806636886,0.825853493,0.794421736,0.768715883,0.780044676,0.614707009,0.812859195,0.770384326,0.565785269,0.793083808,0.775417661,0.66908513,0.762017759,0.764691266,0.736044161,0.682840677,0.709699588,0.698969578,0.543541264,0.677385009,0.524215054,0.768856875,0.654886979,0.730637369,0.715946193,0.636385777,0.703077852,0.613114501,0.73714972,0.629951981,0.716849452,0.642831128,0.624301265,0.652301514,0.633035301,0.558911633,0.674374152,0.600887085,0.598920597,0.611190476,0.564310689,0.387159914,0.564806129,0.491348774,0.490543868,0.549305096,0.428388393,0.44750038,0.415282392,0.531437554,0.427523034,0.599711429,0.423595506,0.618415762,0.526851451,0.454395289,0.425049432,0.477768876,0.461676035,0.494386874,0.463143503,0.374364561,0.44946073,0.296841982,0.328403064,0.349985861,0.39006883,0.524115756,0.232943587,0.207281224,0.409990038,0.406258559,0.282118751,0.251866972,0.461012244,0.325422705,0.307836599,0.254771393,0.245164733,0.206227911,0.216699219,0.35015812,0.217168328,0.186819218,0.261621389,0.177377475,0.098314607,0.201692226,0.210897342,0.141581386,0.130366197,0.073432579,0.128258294,0.073248639,0.102969991,0.103455097,0.12583014,0.111332669,0.116897807,0.045070082,0.082509506,0.094535735,0.08044049,0.105308713,0.150734574,0.016331983,0.064869709
CCPG1,0.420351577,0.340825078,0.377142857,0.360812971,0.37595149,0.378116157,0.390967742,0.341803092,0.306989145,0.332774518,0.399401353,0.382044329,0.331149596,0.213395839,0.269165332,0.295011338,0.154499761,0.342507364,0.286848182,0.394572322,0.3196227,0.329441745,0.27881149,0.307736343,0.233760352,0.258637294,0.268893097,0.262579774,0.202968037,0.269325074,0.262452411,0.213372031,0.223315195,0.17993997,0.263764405,0.206760316,0.191963388,0.21345352,0.193242167,0.155427826,0.124125385,0.149557061,0.126810407,0.164415248,0.171014088,0.161276636,0.135943332,0.176076892,0.241236106,0.092385355,0.099336814,0.120795714,0.097899304,0.092881468,0.057212056,0.078038946,0.04866905,0.06396383,0.056022041,0.104571106,0.059710392,0.062544547,0.111557275,0.043122677,0.087101719,0.050308306,0.067213115,0.056631242,0.085663276,0.056471263,0.055978898,0.058993399,0.062491564,0.035758408,0.043757073,0.046501873,0.053295669,0.050568182,0.052127479,0.029011003,0.032944944,0.032117892,0.034195499,0.037330546,0.032244237,0.048950233,0.048306814,0.061624055,0.025284724,0.026768319,0.044229891,0.032359695,0.039894187,0.027215475,0.022518199,0.01492681,0.011124014,0.012299403,0.024893578,0.021358945,0.046547421,0.011817486,0.021917176,0.022524272,0.019754905,0.009742035,0.017747303,0.013076668,0.008552675,0.012248193,0.009551375,0.009285412,0.007710809,0.006189968,0.004706703,0.00584944,0.007786022,0.006916592,0.003509719,0.006906182,0.005258716,0.00750469,0.006984349,0.008607784,0.008206457,0.007376619,0.008789896,0.013709526,0.010673783
CLASP1,0.913761468,0.911032028,0.939297125,0.985576923,0.912636034,0.967592593,0.926247289,0.964755392,0.928410372,0.9415,0.897225077,0.830524345,0.957597173,0.841082582,0.887283237,0.872021784,0.952991453,0.937625755,0.922232388,0.819338422,0.919436052,0.906444099,0.833201893,0.918582375,0.916010499,0.932792584,0.881653454,0.856070941,0.91544477,0.881898455,0.822368421,0.815421816,0.71886121,0.710447761,0.71563981,0.777277277,0.740276035,0.749561018,0.733980583,0.6368,0.764880952,0.716216216,0.744780015,0.719339623,0.696913252,0.673605329,0.699381079,0.827659574,0.705167173,0.616440518,0.611367127,0.453583062,0.528905809,0.536286286,0.452065472,0.532183629,0.554098361,0.604878049,0.514361467,0.449171518,0.409292035,0.527117509,0.369127517,0.470588235,0.413294798,0.472076789,0.515889213,0.367179617,0.491525424,0.308139535,0.408809892,0.331825038,0.406655574,0.32685464,0.269805195,0.286922576,0.383632597,0.235130112,0.318107667,0.212177122,0.344304522,0.239152629,0.247202442,0.258766968,0.304982386,0.333613445,0.216433942,0.187047619,0.205235117,0.275376197,0.198385236,0.278619529,0.22754491,0.163795905,0.15357613,0.180847995,0.24291498,0.111017485,0.117276888,0.221279176,0.110497238,0.159293553,0.157728707,0.104344729,0.079503336,0.043325769,0.036897923,0.074175824,0.104255319,0.06096832,0.062992126,0.069602273,0.056165541,0.08751334,0.01703163,0.045631068,0.028820375,0.064084507,0.083233533,0.058863329,0.016909162,0.036896878,0.04826087,0.032290616,0.036117078,0.04027618,0.026778733,0.038619275,0.070441989
CLCN1,0.066746411,0.076891616,0.073376623,0.092621664,0.055728761,0.056060606,0.059020383,0.069222851,0.078437844,0.071736964,0.058727569,0.064915966,0.032939573,0.118719363,0.082969432,0.078888265,0.115633673,0.069385842,0.086834296,0.074484147,0.092079845,0.03438755,0.136618326,0.103367125,0.091717259,0.07239232,0.089335456,0.064338887,0.118059701,0.146240765,0.075517891,0.199385156,0.3089701,0.212276215,0.144298688,0.145947426,0.225042784,0.214752758,0.228162651,0.246212121,0.259530792,0.300982091,0.186000979,0.328806584,0.227465786,0.188412853,0.298651252,0.236216216,0.219348659,0.309262948,0.370899471,0.274925962,0.425649351,0.443371378,0.578064516,0.42176259,0.595828636,0.378723404,0.555169418,0.483207676,0.509608785,0.468680914,0.466847091,0.260444444,0.645631068,0.465020576,0.582482125,0.572763029,0.511056511,0.740948814,0.551004637,0.592039801,0.522923875,0.637801609,0.589697591,0.581546708,0.612099644,0.686455585,0.639625585,0.710217755,0.662,0.589127219,0.644186047,0.787934186,0.7972103,0.698354662,0.716643741,0.765423242,0.795940171,0.78856383,0.753654575,0.721590909,0.87295082,0.826882845,0.88147707,0.816526611,0.827087794,0.864937388,0.730872483,0.797520661,0.749295775,0.79757392,0.922918808,0.853517878,0.905861456,0.943396226,0.907915994,0.956325301,0.93840231,0.893258427,0.897165259,0.907202216,0.874751491,0.936619718,0.908588159,0.919909209,0.917835671,0.909635547,0.924953096,0.933102653,0.920212766,0.948344371,0.907035176,0.945714286,0.904945408,0.962732919,0.935530086,0.911392405,0.931343284
