Geneid	AdCo-001_counts	AdCo-002_counts	AdCo-004_counts	AdCo-005_counts	AdCo-006_counts	AdCo-007_counts	AdCo-008_counts	AdCo-009_counts	AdCo-010_counts	AdCo-011_counts	AdCo-012_counts	AdCo-015_counts	AdCo-016_counts	AdCo-017_counts	AdCo-018_counts	AdCo-019_counts	AdCo-020_counts	AdCo-021_counts	AdCo-022_counts	AdCo-023_counts	AdCo-024_counts	AdCo-025_counts	CDM-001_counts	CDM-007_counts	CDM-018_counts	CDM-021_counts	CDM-032_counts	CDM-033_counts	CDM-034_counts	CDM-036_counts	CDM-049_counts	CDM-050_counts	CDM-051_counts	CDM-052_counts	DM1-001_counts	DM1-002_counts	DM1-004_counts	DM1-005_counts	DM1-006_counts	DM1-007_counts	DM1-009_counts	DM1-010_counts	DM1-011_counts	DM1-012_counts	DM1-013_counts	DM1-014_counts	DM1-015_counts	DM1-016_counts	DM1-017_counts	DM1-018_counts	DM1-019_counts	DM1-020_counts	DM1-021_counts	DM1-022_counts	DM1-023_counts	DM1-024_counts	DM1-025_counts	DM1-026_counts	DM1-027_counts	DM1-028_counts	DM1-029_counts	DM1-030_counts	DM1-031_counts	DM1-032_counts	DM1-033_counts	DM1-034_counts	DM1-035_counts	DM1-036_counts	DM1-038_counts	DM1-039_counts	DM1-041_counts	DM1-042_counts	DM1-043_counts	DM1-044_counts	DM1-045_counts	DM1-046_counts	DM1-047_counts	DM1-048_counts	DM1-049_counts	DM1-050_counts	DM1-051_counts	DM1-052_counts	DM1-053_counts	DM1-054_counts	DM1-055_counts	DM1-056_counts	DM1-057_counts	DM1-058_counts	DM1-059_counts	DM1-060_counts	DM1-061_counts	DM1-062_counts	DM1-063_counts	DM1-064_counts	DM1-065_counts	DM1-066_counts	DM1-067_counts	DM1-068_counts	DM1-069_counts	DM1-070_counts	DM1-071_counts	DM1-072_counts	DM1-073_counts	DM1-074_counts	DM1-075_counts	DM1-076_counts	DM1-077_counts	DM1-080_counts	DM1-081_counts	DM1-082_counts	DM1-083_counts	DM1-084_counts	DM1-085_counts	DM1-086_counts	DM1-087_counts	DM1-088_counts	DM1-089_counts	DM1-101_counts	DM1-102_counts	DM1-103_counts	DM1-104_counts	DM1-105_counts	DM1-106_counts	DM1-107_counts	DM1-108_counts	DM1-109_counts	DM1-110_counts	DM1-111_counts	DM1-112_counts	DM1-114_counts	DM1-115_counts	DM2-001_counts	DM2-002_counts	DM2-003_counts	DM2-004_counts	merged_counts
*	78980	118686	125568	130556	51036	160082	36534	370990	114032	102680	98660	134824	90752	96218	205380	85724	206816	155900	143156	216584	91102	104690	302360	62962	30644	68388	115330	50396	66006	50454	148196	164976	103116	111236	73032	70380	73820	108666	57784	75212	85610	69870	90964	155852	85930	118930	207544	77606	237822	106074	74054	107968	203930	102652	99840	152444	100218	122848	84824	136424	108758	72066	81784	81822	209838	138362	141732	69476	115414	106610	121046	116984	78378	75106	108290	67572	115652	94438	90324	76754	144398	120132	92468	82446	63790	60794	56230	99998	96208	72000	106032	70246	126496	92958	76380	69656	65968	63406	88742	50470	130926	78614	46362	97742	74412	115242	71880	97742	88338	118658	126316	143836	109636	107062	111698	185940	140898	105806	92832	101984	147538	132808	61046	87606	77756	79810	114998	138612	118942	95140	93316	62452	97674	60550	122576	*
ANK2_NEG_REV	68	348	224	144	293	548	227	78	291	381	540	126	233	206	118	211	703	144	50	344	457	432	5328	1255	816	2846	1146	220	3440	413	1391	886	600	2197	917	859	935	1718	857	975	1595	762	1388	985	1635	3097	1845	2006	3326	1144	1676	4044	1552	2155	1636	3958	2817	1895	3179	1083	2594	2542	2644	2502	3471	3541	2962	2729	3824	5274	363	506	1402	1217	1608	3643	740	251	716	577	1398	1245	3088	1087	2322	273	327	269	643	687	711	503	1854	1448	1557	1308	1361	290	383	493	191	546	364	1332	1487	459	661	824	342	2371	2207	1550	2580	415	466	1147	2187	1069	1745	875	1583	1357	491	1340	310	296	3678	441	798	1684	1698	1947	2534	258	1735	ANK2_NEG_REV
ANK2_POS	3128	5002	3176	2334	4513	3568	2511	956	2851	4299	2840	1348	3497	3094	2798	3616	2387	2730	1398	2320	2631	2850	3350	3495	3180	4636	4588	3190	2596	5191	6183	4410	4676	2917	4655	4911	4399	3166	3417	3531	4625	4980	5546	3177	4793	2325	1177	2894	1956	4774	2732	1724	5110	5113	4250	5092	6293	4131	3901	4675	3156	3846	3016	4144	3467	3147	1776	2155	3462	4424	4317	3248	4930	5161	4412	3361	4900	2581	4924	5147	5702	1759	3160	3587	3948	3327	3913	2615	4233	2803	3525	2869	2952	3026	2799	2882	3629	2356	2261	3867	4113	2992	3178	2702	3059	2887	2559	2702	2730	2283	1409	990	1860	1987	2098	1611	2673	2877	3103	5311	3429	2329	3703	3442	3178	3876	5290	2869	3158	5060	2506	4661	3630	4254	3483	ANK2_POS
ATP2A1_NEG_REV	857	701	917	918	1712	1126	812	1813	1685	2286	1128	769	952	822	697	975	645	697	1148	2385	1127	910	351162	60214	20354	206288	22993	3518	197631	8616	6790	2014	1682	73466	23097	36619	48852	58262	46726	17125	79227	72081	191218	72777	88027	180638	210562	168956	366594	130188	84136	227771	176413	120450	47187	102874	135964	67904	133091	41381	200022	146250	231124	207721	171940	99220	81924	139234	151912	93167	2982	17481	48373	47477	76313	118088	43930	21395	9976	1358	23458	48277	77079	35034	190383	845	12122	2634	61072	10973	78865	27968	161107	215001	80436	48626	48518	6553	5608	21324	11023	8054	3814	43095	56686	18188	31922	1263	1529	215295	178852	142201	187181	3074	25533	38829	71503	22559	88664	563	45052	175989	8530	88974	972	656	12945	5318	5285	67794	168105	99848	59828	1762	152768	ATP2A1_NEG_REV
ATP2A1_POS	281939	238262	315780	265203	122752	263898	187496	402655	196089	325854	230010	218993	261105	184707	178381	287388	271366	224613	293626	148873	205144	195054	5652	116173	172370	9049	244726	175054	3027	247843	135370	118510	225188	187687	119862	188437	231401	2510	100679	123264	96168	97588	70430	55987	52037	5822	15437	13971	9825	44482	74540	3270	90507	3503	151610	3611	43508	6138	1335	81564	15998	2578	21992	2588	1778	1352	2006	5910	2262	1116	212874	98733	174453	158100	141975	2794	124985	136713	174216	210380	20410	262767	122443	167162	28910	192210	148142	206601	166262	205636	144625	132854	71733	79500	22552	101506	117016	185573	184277	190650	249260	252807	155548	107099	138030	238921	158967	217739	224616	8652	2766	148053	4194	186564	187773	148385	18587	172257	53207	168559	158346	26051	200366	95806	161238	187308	185740	260724	214235	76868	73803	81508	61276	214613	95204	ATP2A1_POS
BEST3_NEG_REV	813	685	258	561	1466	2313	896	332	1676	2234	1189	554	280	1600	780	468	328	734	196	542	1250	1122	10074	5508	2668	7301	3470	1191	12493	1532	6411	1872	2157	10227	1541	2301	5103	13595	8279	11889	8261	4481	8901	6167	13251	16678	14063	6512	11873	7183	14653	37959	14738	30976	11980	27409	14015	13459	22564	5384	16768	15003	20449	16892	18540	30786	16501	14044	22451	25976	2556	5631	5942	3786	7930	18953	3087	994	3687	1733	5389	7848	16268	7401	13042	1877	4537	2093	6310	5034	14898	12698	7307	11670	14676	14702	12592	2585	2290	4391	4490	1936	1940	7304	9336	2721	5593	924	1327	12846	15330	10168	11412	4820	2863	4439	25526	4485	11971	346	4360	11610	1280	4337	740	962	1889	2287	2128	7194	8608	5729	3585	660	10048	BEST3_NEG_REV
BEST3_POS	1076	1307	818	607	2002	4314	2252	522	4871	5079	1960	1118	934	2123	1646	2082	726	822	1394	1174	2172	3529	266	1158	1374	534	2620	1936	378	1198	2115	1474	1736	727	1400	1442	1127	1604	2157	2981	1005	1872	2003	1575	1369	354	630	679	1248	1089	1549	587	1551	4589	2420	1108	1214	1223	855	1177	568	1069	832	694	773	1042	648	959	1475	2239	1554	1685	1343	1843	932	664	1382	888	1504	1625	2248	637	1263	2062	639	2407	3450	1438	1214	1850	1167	2948	1401	1176	1281	1383	1887	1709	2192	3022	3305	1751	2588	2653	1327	3815	2212	1008	1291	349	196	831	681	3146	1233	2026	2264	930	1063	1436	859	1565	774	1332	2248	2510	2228	2334	2013	832	1119	2179	1374	2232	2492	BEST3_POS
BEST3_POSPLUS	997	1232	806	574	2156	4851	2196	420	4001	5335	1683	906	756	1835	1510	1812	664	780	1266	1038	1948	3075	250	1298	1354	575	2832	1939	425	1340	1862	1186	1473	660	1433	1651	1206	1747	2438	3326	1064	1987	2156	1482	1560	368	739	675	1255	1304	1656	630	1813	4927	2634	1141	1373	1310	925	1401	646	1176	921	742	881	1092	811	1051	1706	2565	1574	1880	1463	1957	1014	641	1531	944	1567	1630	2431	645	1441	2201	769	2520	3581	1503	1346	1994	1347	3120	1336	1294	1407	1501	2007	1802	2352	3061	3629	1873	2814	2775	1509	3994	2483	760	1080	273	260	699	623	2702	1106	1665	1848	737	960	1386	741	1295	680	1043	2090	2072	2143	2035	1809	840	953	2298	1519	2432	2874	BEST3_POSPLUS
BIN1_NEG_REV	1558	1808	1990	1210	1276	1593	1156	1511	2454	1422	1625	1644	1344	1571	1612	1116	3030	1224	1404	2174	1484	1726	37749	9644	4139	10377	2966	1438	22829	1218	6608	2562	2618	15065	3660	5958	3037	16638	5885	5566	8855	4907	12107	14150	15198	46815	49786	23505	23914	8911	12179	42235	15437	37231	13576	29966	14203	11293	35308	9667	36720	23248	27553	29146	46295	63624	57103	26077	36850	35745	1410	5439	4852	3628	11145	29048	3713	5150	3690	1228	8983	9423	14800	4599	10147	1016	1862	3078	6647	5617	12225	4784	6925	14214	19934	8820	9296	2080	2260	2350	2134	1912	1904	16627	15962	1353	2529	1416	1100	27016	35402	22536	30591	2711	3238	9133	23011	13777	14220	1861	20171	20499	2250	7407	1396	1522	2282	1784	2009	12308	13379	5276	6826	1238	9011	BIN1_NEG_REV
BIN1_POS	136322	158462	163300	116082	86472	111923	86956	121027	161686	145902	115955	136134	136936	110601	138818	96538	134860	104294	105330	152310	117664	146160	41675	55272	79135	47653	121296	87190	34873	66996	132338	155524	109194	84628	51118	68950	76987	75892	77205	69568	73921	102451	105303	160604	123682	79181	88932	127009	125816	120461	75027	47425	95097	112211	129370	122708	102677	117839	103812	146833	88014	92682	68381	77154	66719	112788	127865	83593	82526	70187	115384	122341	59580	77598	86583	57408	51835	89818	72378	73262	100783	104765	80034	85485	63689	71784	90510	69956	88497	114125	121122	71480	56585	88482	84270	66192	74972	80842	94700	91242	77270	94156	76660	107815	90204	93569	85559	78706	86488	81864	60880	66186	40076	99259	96844	111475	102971	105453	93738	121610	120409	100151	107366	119183	90620	114644	77016	104566	93691	109456	123901	88272	110024	111086	118019	BIN1_POS
