event,95th_dm1_psi,med_cntl_psi
ANK2,0.38973177,0.929341222
ATP2A1,0.013940264,0.99592841
BEST3,0.064702369,0.800156662
BIN1,0.637233761,0.987814843
CACNA1S,0.215924175,0.944751385
CAMK2B,0.017415223,0.614877098
CAPZB,0.090927866,0.807839164
CCPG1,0.006691318,0.336799798
CLASP1,0.034969139,0.915727635
CLCN1,0.937154496,0.072884471
DMD,0.576614549,0.914451749
GFPT1,0.317102006,0.837050794
GOLGA4,0.513339352,0.047496202
INSR,0.003716634,0.682064687
KIF13A,0.007760234,0.457508832
MBNL1,0.787854159,0.069252761
MBNL2,0.723889869,0.110849704
NFIX,0.877234341,0.152887033
OPA1,0.077495963,0.443150161
RYR1,0.035255828,0.373821523
SOS1,0.162011497,0.976118714
VPS39,0.056004389,0.809083051
